name,alias,tlb,category,opcode,fift_asm,stack,gas,desc,tvm_asm
,,,const_data,,"<b x{AB12} s, b> PUSHREF
<b x{AB12} s, b> PUSHREFSLICE",- c/s,,"Examples of `PUSHREF` and `PUSHREFSLICE`.
More on building cells in fift [here](https://github.com/Piterden/TON-docs/blob/master/Fift.%20A%20Brief%20Introduction.md#user-content-52-builder-primitives).",
PUSHCONT,,#8F_ r:(## 2) xx:(## 7) c:(r * ^Cell) ssss:((8 * xx) * Bit),const_data,8F_rxxcccc,"[builder] PUSHCONT
[builder] CONT",- c,26,"Pushes a continuation made from `builder`.
_Details:_ Pushes the simple ordinary continuation `cccc` made from the first `0 <= r <= 3` references and the first `0 <= xx <= 127` bytes of `cc.code`.",
PUSHCONT_SHORT,,#9 x:(## 4) ssss:((8 * x) * Bit),const_data,9xccc,"[builder] PUSHCONT
[builder] CONT",- c,18,"Pushes a continuation made from `builder`.
_Details:_ Pushes an `x`-byte continuation for `0 <= x <= 15`.",
,,,const_data,,"<{ code }> PUSHCONT
<{ code }> CONT
CONT:<{ code }>",- c,,"Pushes a continuation with code `code`.
Note that the assembler can replace `PUSHCONT` with `PUSHREFCONT` in certain situations (e.g. if there’s not enough space in the current continuation).",
ADD,,#A0,arithm_basic,A0,ADD,x y - x+y,18,Adds together two integers,0xA0
SUB,,#A1,arithm_basic,A1,SUB,x y - x-y,18,,0xA1
SUBR,,#A2,arithm_basic,A2,SUBR,x y - y-x,18,Equivalent to `SWAP` `SUB`.,0xA2
NEGATE,,#A3,arithm_basic,A3,NEGATE,x - -x,18,"Equivalent to `-1 MULCONST` or to `ZERO SUBR`.
Notice that it triggers an integer overflow exception if `x=-2^256`.",0xA3
INC,,#A4,arithm_basic,A4,INC,x - x+1,18,Equivalent to `1 ADDCONST`.,0xA4
DEC,,#A5,arithm_basic,A5,DEC,x - x-1,18,Equivalent to `-1 ADDCONST`.,0xA5
ADDCONST,,#A6 cc:int8,arithm_basic,A6cc,"[cc] ADDCONST
[cc] ADDINT
[-cc] SUBCONST
[-cc] SUBINT",x - x+cc,26,`-128 <= cc <= 127`.,"z = parse_const_i8 
      => 0xA6, z"
MULCONST,,#A7 cc:int8,arithm_basic,A7cc,"[cc] MULCONST
[cc] MULINT",x - x*cc,26,`-128 <= cc <= 127`.,"z = parse_const_i8
      => 0xA7, z"
MUL,,#A8,arithm_basic,A8,MUL,x y - x*y,18,,0xA8
DIV_BASE,,#A9 m:uint1 s:uint2 cdft:(Either [ d:uint2 f:uint2 ] [ d:uint2 f:uint2 tt:uint8 ]),arithm_div,A9mscdf,,,26,"This is the general encoding of division, with an optional pre-multiplication and an optional replacement of the division or multiplication by a shift. Variable fields are as follows:
`0 <= m <= 1`  -  Indicates whether there is pre-multiplication (`MULDIV` and its variants), possibly replaced by a left shift.
`0 <= s <= 2`  -  Indicates whether either the multiplication or the division have been replaced by shifts: `s=0` - no replacement, `s=1` - division replaced by a right shift, `s=2` - multiplication replaced by a left shift (possible only for `m=1`).
`0 <= c <= 1`  -  Indicates whether there is a constant one-byte argument `tt` for the shift operator (if `s!=0`). For `s=0`, `c=0`. If `c=1`, then `0 <= tt <= 255`, and the shift is performed by `tt+1` bits. If `s!=0` and `c=0`, then the shift amount is provided to the instruction as a top-of-stack _Integer_ in range `0...256`.
`1 <= d <= 3`  -  Indicates which results of division are required: `1` - only the quotient, `2` - only the remainder, `3` - both.
`0 <= f <= 2`  -  Rounding mode: `0` - floor, `1` - nearest integer, `2` - ceiling.
All instructions below are variants of this.",
DIV,DIV_BASE,#A904,arithm_div,A904,DIV,x y - q,26,"`q=floor(x/y)`, `r=x-y*q`","0xA9, 0x04"
DIVR,DIV_BASE,#A905,arithm_div,A905,DIVR,x y - q’,26,"`q’=round(x/y)`, `r’=x-y*q’`","0xA9, 0x05"
DIVC,DIV_BASE,#A906,arithm_div,A906,DIVC,x y - q'',26,"`q’’=ceil(x/y)`, `r’’=x-y*q’’`","0xA9, 0x06"
MOD,DIV_BASE,#A908,arithm_div,A908,MOD,x y - r,26,"where q=floor(x/y), r=x mod y=x-yq.","0xA9, 0x08"
DIVMOD,DIV_BASE,#A90C,arithm_div,A90C,DIVMOD,x y - q r,26,"where q=floor(x/y), r=x-yq.","0xA9, 0x0C"
DIVMODR,DIV_BASE,#A90D,arithm_div,A90D,DIVMODR,x y - q' r',26,"where q' = floor(x/y + 1/2), r' = x - yq'.","0xA9, 0x0D"
DIVMODC,DIV_BASE,#A90E,arithm_div,A90E,DIVMODC,x y - q'' r'',26,"where q'' = ceil(x/y), r'' = x - yq''.","0xA9, 0x0E"
,,#A924,arithm_div,A924,RSHIFT,x y - floor(x*c/2^y),,,
RSHIFTR_VAR,DIV_BASE,#A925,arithm_div,A925,RSHIFTR,x y - round(x/2^y),26,,"0xA9, 0x25"
RSHIFTC_VAR,DIV_BASE,#A926,arithm_div,A926,RSHIFTC,x y - ceil(x/2^y),34,,"0xA9, 0x26"
,,#A934 tt:uint8,arithm_div,A934tt,[tt+1] RSHIFT,x - x mod 2^(tt+1),34,,
RSHIFTR,DIV_BASE,#A935 tt:uint8,arithm_div,A935tt,[tt+1] RSHIFTR#,x y - round(x/2^(tt+1)),34,,
RSHIFTC,DIV_BASE,#A936 tt:uint8,arithm_div,A936tt,[tt+1] RSHIFTC#,x y - ceil(x/2^(tt+1)),34,,
MODPOW2,DIV_BASE,#A938 tt:uint8,arithm_div,A938tt,[tt+1] MODPOW2#,x - x mod 2^(tt+1),26,,
MULDIV,DIV_BASE,#A984,arithm_div,A98,MULDIV,x y z - q,26,`q=floor(x*y/z)`,"0xA9, 0x84"
MULDIVR,DIV_BASE,#A985,arithm_div,A985,MULDIVR,x y z - q',26,`q'=round(x*y/z)`,"0xA9, 0x85"
MULDIVMOD,DIV_BASE,#A98C,arithm_div,A98C,MULDIVMOD,x y z - q r,26,"`q=floor(x*y/z)`, `r=x*y-z*q`","0xA9, 0x8C"
MULRSHIFT_VAR,DIV_BASE,#A9A4,arithm_div,A9A4,MULRSHIFT,x y z - floor(x*y/2^z),26,`0 <= z <= 256`,"0xA9, 0xA4"
MULRSHIFTR_VAR,DIV_BASE,#A9A5,arithm_div,A9A5,MULRSHIFTR,x y z - round(x*y/2^z),26,`0 <= z <= 256`,"0xA9, 0xA5"
MULRSHIFTC_VAR,DIV_BASE,#A9A6,arithm_div,A9A6,MULRSHIFTC,x y z - ceil(x*y/2^z),34,`0 <= z <= 256`,"0xA9, 0xA6"
MULRSHIFT,DIV_BASE,#A9B4 tt:uint8,arithm_div,A9B4tt,[tt+1] MULRSHIFT#,x y - floor(x*y/2^(tt+1)),34,,
MULRSHIFTR,DIV_BASE,#A9B5 tt:uint8,arithm_div,A9B5tt,[tt+1] MULRSHIFTR#,x y - round(x*y/2^(tt+1)),34,,
MULRSHIFTC,DIV_BASE,#A9B6 tt:uint8,arithm_div,A9B6tt,[tt+1] MULRSHIFTC#,x y - ceil(x*y/2^(tt+1)),26,,
LSHIFTDIV_VAR,DIV_BASE,#A9C4,arithm_div,A9C4,LSHIFTDIV,x y z - floor(2^z*x/y),26,`0 <= z <= 256`,"0xA9, 0xC4"
LSHIFTDIVR_VAR,DIV_BASE,#A9C5,arithm_div,A9C5,LSHIFTDIVR,x y z - round(2^z*x/y),26,`0 <= z <= 256`,"0xA9, 0xC5"
LSHIFTDIVC_VAR,DIV_BASE,#A9C6,arithm_div,A9C6,LSHIFTDIVC,x y z - ceil(2^z*x/y),34,`0 <= z <= 256`,"0xA9, 0xC6"
LSHIFTDIV,DIV_BASE,#A9D4 tt:uint8,arithm_div,A9D4tt,[tt+1] LSHIFT#DIV,x y - floor(2^(tt+1)*x/y),34,,
LSHIFTDIVR,DIV_BASE,#A9D5 tt:uint8,arithm_div,A9D5tt,[tt+1] LSHIFT#DIVR,x y - round(2^(tt+1)*x/y),34,,
LSHIFTDIVC,DIV_BASE,#A9D6 tt:uint8,arithm_div,A9D6tt,[tt+1] LSHIFT#DIVC,x y - ceil(2^(tt+1)*x/y),26,,
LSHIFT,,#AA cc:uint8,arithm_logical,AAcc,[cc+1] LSHIFT#,x - x*2^(cc+1),26,`0 <= cc <= 255`,
,,#AA00,arithm_logical,AA00,[1] LSHIFT#,,,Equivalent to `MULCONST 2` or to Forth's 2*.,
RSHIFT,,#AB cc:uint8,arithm_logical,ABcc,[cc+1] RSHIFT#,x - floor(x/2^(cc+1)),18,`0 <= cc <= 255`,
LSHIFT_VAR,,#AC,arithm_logical,AC,LSHIFT,x y - x*2^y,18,`0 <= y <= 1023`,0xAC
RSHIFT_VAR,,#AD,arithm_logical,AD,RSHIFT,x y - floor(x/2^y),18,`0 <= y <= 1023`,0xAD
POW2,,#AE,arithm_logical,AE,POW2,y - 2^y,18,"`0 <= y <= 1023`
Equivalent to `ONE` `SWAP` `LSHIFT`.",0xAE
AND,,#B0,arithm_logical,B0,AND,x y - x&y,18,"Bitwise and of two signed integers `x` and `y`, sign-extended to infinity.",0xB0
OR,,#B1,arithm_logical,B1,OR,x y - x|y,18,Bitwise or of two integers.,0xB1
XOR,,#B2,arithm_logical,B2,XOR,x y - x xor y,18,Bitwise xor of two integers.,0xB2
NOT,,#B3,arithm_logical,B3,NOT,x - ~x,26,Bitwise not of an integer.,0xB3
FITS,,#B4 cc:uint8,arithm_logical,B4cc,[cc+1] FITS,x - x,26/76,"Checks whether `x` is a `cc+1`-bit signed integer for `0 <= cc <= 255` (i.e., whether `-2^cc <= x < 2^cc`).
If not, either triggers an integer overflow exception, or replaces `x` with a `NaN` (quiet version).","z = parse_const_u8_plus_one
      => 0xB4, z"
CHKBOOL,FITS,#B400,arithm_logical,B400,CHKBOOL,x - x,26/76,"Checks whether `x` is a “boolean value'' (i.e., either 0 or -1).","0xB4, 0x00"
UFITS,,#B5 cc:uint8,arithm_logical,B5cc,[cc+1] UFITS,x - x,26/76,"Checks whether `x` is a `cc+1`-bit unsigned integer for `0 <= cc <= 255` (i.e., whether `0 <= x < 2^(cc+1)`).","z = parse_const_u8_plus_one
      => 0xB5, z"
CHKBIT,UFITS,#B500,arithm_logical,B500,CHKBIT,x - x,26/76,"Checks whether `x` is a binary digit (i.e., zero or one).","0xB5, 0x00"
FITSX,,#B600,arithm_logical,B600,FITSX,x c - x,26/76,Checks whether `x` is a `c`-bit signed integer for `0 <= c <= 1023`.,"0xB6, 0x00"
UFITSX,,#B601,arithm_logical,B601,UFITSX,x c - x,26/76,Checks whether `x` is a `c`-bit unsigned integer for `0 <= c <= 1023`.,"0xB6, 0x01"
BITSIZE,,#B602,arithm_logical,B602,BITSIZE,x - c,26,Computes smallest `c >= 0` such that `x` fits into a `c`-bit signed integer (`-2^(c-1) <= c < 2^(c-1)`).,"0xB6, 0x02"
UBITSIZE,,#B603,arithm_logical,B603,UBITSIZE,x - c,26,"Computes smallest `c >= 0` such that `x` fits into a `c`-bit unsigned integer (`0 <= x < 2^c`), or throws a range check exception.","0xB6, 0x03"
MIN,,#B608,arithm_logical,B608,MIN,x y - x or y,26,Computes the minimum of two integers `x` and `y`.,"0xB6, 0x08"
MAX,,#B609,arithm_logical,B609,MAX,x y - x or y,26,Computes the maximum of two integers `x` and `y`.,"0xB6, 0x09"
MINMAX,,#B60A,arithm_logical,B60A,"MINMAX
INTSORT2",x y - x y or y x,26,Sorts two integers. Quiet version of this operation returns two `NaN`s if any of the arguments are `NaN`s.,"0xB6, 0x0A"
ABS,,#B60B,arithm_logical,B60B,ABS,x - |x|,26,Computes the absolute value of an integer `x`.,"0xB6, 0x0B"
QUIET,,#B7 xx:uint8,arthim_quiet,B7xx,QUIET,,,"prefix, transforming any arithmetic operation into its ""quiet"" variant, indicated by prefixing a Q to its mnemonic. Such operations return NaNs instead of throwing integer overflow exceptions if the results do not fit in Integer's, or if one of their arguments is a NaN. Notice that this does not extend to shift amounts and other parameters that must be within a small range (e.g., 0-1023). Also notice that this does not disable type-checking exceptions if a value of a type other than Integer is supplied.",
QADD,,#B7A0,arithm_quiet,B7A0,QADD,x y - x+y,26,"Always works if x and y are Integers, but returns a NaN if the addition cannot be performed.","0xB7, 0xA0"
QSUB,,#B7A1,arithm_quiet,B7A1,QSUB,x y - x-y,26,,"0xB7, 0xA1"
QSUBR,,#B7A2,arithm_quiet,B7A2,QSUBR,x y - y-x,26,,"0xB7, 0xA2"
QNEGATE,,#B7A3,arithm_quiet,B7A3,QNEGATE,x - -x,26,,"0xB7, 0xA3"
QINC,,#B7A4,arithm_quiet,B7A4,QINC,x - x+1,26,,"0xB7, 0xA4"
QDEC,,#B7A5,arithm_quiet,B7A5,QDEC,x - x-1,26,,"0xB7, 0xA5"
QMUL,,#B7A8,arithm_quiet,B7A8,QMUL,x y - x*y,26,,"0xB7, 0xA8"
QDIV,,#B7A904,arithm_quiet,B7A904,QDIV,x y - q,34,Division returns `NaN` if `y=0`.,"0xB7, 0xA9, 0x04"
QDIVR,,#B7A905,arithm_quiet,B7A905,QDIVR,x y - q’,34,,"0xB7, 0xA9, 0x05"
QDIVC,,#B7A906,arithm_quiet,B7A906,QDIVC,x y - q'',34,,"0xB7, 0xA9, 0x06"
QMOD,,#B7A908,arithm_quiet,B7A908,QMOD,x y - r,34,,"0xB7, 0xA9, 0x08"
QDIVMOD,,#B7A90C,arithm_quiet,B7A90C,QDIVMOD,x y - q r,34,,"0xB7, 0xA9, 0x0C"
QDIVMODR,,#B7A90D,arithm_quiet,B7A90D,QDIVMODR,x y - q' r',34,,"0xB7, 0xA9, 0x0D"
QDIVMODC,,#B7A90E,arithm_quiet,B7A90E,QDIVMODC,x y - q'' r'',34,,"0xB7, 0xA9, 0x0E"
QMULDIVR,,#B7A985,arithm_quiet,B7A985,QMULDIVR,x y z - q',34,,"0xB7, 0xA9, 0x85"
QMULDIVMOD,,#B7A98C,arithm_quiet,B7A98C,QMULDIVMOD,x y z - q r,34,,"0xB7, 0xA9, 0x8C"
QLSHIFT,,#B7AC,arithm_quiet,B7AC,QLSHIFT,x y - x*2^y,26,,"0xB7, 0xAC"
QRSHIFT,,#B7AD,arithm_quiet,B7AD,QRSHIFT,x y - floor(x/2^y),26,,"0xB7, 0xAD"
QPOW2,,#B7AE,arithm_quiet,B7AE,QPOW2,y - 2^y,26,,"0xB7, 0xAE"
QAND,,#B7B0,arithm_quiet,B7B0,QAND,x y - x&y,26,"Bitwise and (similar to AND), but returns a NaN if either x or y is a NaN instead of throwing an integer overflow exception. However, if one of the arguments is zero, and the other is a NaN, the result is zero.","0xB7, 0xB0"
QOR,,#B7B1,arithm_quiet,B7B1,QOR,x y - x|y,26,"Bitwise or. If x = -1 or y = -1, the result is always -1, even if the other argument is a NaN.","0xB7, 0xB1"
QXOR,,#B7B2,arithm_quiet,B7B2,QXOR,x y - x xor y,26,,"0xB7, 0xB2"
QNOT,,#B7B3,arithm_quiet,B7B3,QNOT,x - ~x,26,,"0xB7, 0xB3"
QFITS,,#B7B4 cc:uint8,arithm_quiet,B7B4cc,[cc+1] QFITS,x - x,34,"Replaces `x` with a `NaN` if x is not a `cc+1`-bit signed integer, leaves it intact otherwise.","z = parse_const_u8_plus_one
      => 0xB7, 0xB4, z"
QUFITS,,#B7B5 cc:uint8,arithm_quiet,B7B5cc,[cc+1] QUFITS,x - x,34,"Replaces `x` with a `NaN` if x is not a `cc+1`-bit unsigned integer, leaves it intact otherwise.","z = parse_const_u8_plus_one
      => 0xB7, 0xB5, z"
QUFITS_8,,#B7B507,arithm_quiet,B7B507,[8] QUFITS,x - x',34,"Checks whether x is an unsigned byte (i.e., whether 0 <= x < 2^8), and replaces x with a NaN if this is not the case; leaves x intact otherwise (i.e., if x is an unsigned byte).",
QFITSX,,#B7B600,arithm_quiet,B7B600,QFITSX,x c - x,34,"Replaces `x` with a `NaN` if x is not a c-bit signed integer, leaves it intact otherwise.","0xB7, 0xB6, 0x00"
QUFITSX,,#B7B601,arithm_quiet,B7B601,QUFITSX,x c - x,34,"Replaces `x` with a `NaN` if x is not a c-bit unsigned integer, leaves it intact otherwise.","0xB7, 0xB6, 0x01"
SGN,,#B8,compare_int,B8,SGN,x - sgn(x),18,"Computes the sign of an integer `x`:
`-1` if `x<0`, `0` if `x=0`, `1` if `x>0`.",0xB8
LESS,,#B9,compare_int,B9,LESS,x y - x<y,18,"Returns `-1` if `x<y`, `0` otherwise.",0xB9
EQUAL,,#BA,compare_int,BA,EQUAL,x y - x=y,18,"Returns `-1` if `x=y`, `0` otherwise.",0xBA
LEQ,,#BB,compare_int,BB,LEQ,x y - x<=y,18,,0xBB
GREATER,,#BC,compare_int,BC,GREATER,x y - x>y,18,,0xBC
NEQ,,#BD,compare_int,BD,NEQ,x y - x!=y,18,Equivalent to `EQUAL` `NOT`.,0xBD
GEQ,,#BE,compare_int,BE,GEQ,x y - x>=y,18,Equivalent to `LESS` `NOT`.,0xBE
CMP,,#BF,compare_int,BF,CMP,x y - sgn(x-y),18,"Computes the sign of `x-y`:
`-1` if `x<y`, `0` if `x=y`, `1` if `x>y`.
No integer overflow can occur here unless `x` or `y` is a `NaN`.",0xBF
EQINT,,#C0 yy:int8,compare_int,C0yy,[yy] EQINT,x - x=yy,26,"Returns `-1` if `x=yy`, `0` otherwise.
`-2^7 <= yy < 2^7`.","z = parse_const_i8
      => 0xC0, z"
ISZERO,EQINT,#C000,compare_int,C000,ISZERO,x - x=0,26,Checks whether an integer is zero. Corresponds to Forth's `0=`.,"0xC0, 0x00"
LESSINT,,#C1 yy:int8,compare_int,C1yy,"[yy] LESSINT
[yy-1] LEQINT",x - x<yy,26,"Returns `-1` if `x<yy`, `0` otherwise.
`-2^7 <= yy < 2^7`.","z = parse_const_i8
      => 0xC1, z"
ISNEG,LESSINT,#C100,compare_int,C100,ISNEG,x - x<0,26,Checks whether an integer is negative. Corresponds to Forth's `0<`.,"0xC1, 0x00"
ISNPOS,LESSINT,#C101,compare_int,C101,ISNPOS,x - x<=0,26,Checks whether an integer is non-positive.,"0xC1, 0x01"
GTINT,,#C2 yy:int8,compare_int,C2yy,"[yy] GTINT
[yy+1] GEQINT",x - x>yy,26,"Returns `-1` if `x>yy`, `0` otherwise.
`-2^7 <= yy < 2^7`.","z = parse_const_i8
      => 0xC2, z"
ISPOS,GTINT,#C200,compare_int,C200,ISPOS,x - x>0,26,Checks whether an integer is positive. Corresponds to Forth's `0>`.,"0xC2, 0x00"
ISNNEG,GTINT,#C2FF,compare_int,C2FF,ISNNEG,x - x >=0,26,Checks whether an integer is non-negative.,"0xC2, 0xFF"
NEQINT,,#C3 yy:int8,compare_int,C3yy,[yy] NEQINT,x - x!=yy,26,"Returns `-1` if `x!=yy`, `0` otherwise.
`-2^7 <= yy < 2^7`.","z = parse_const_i8
      => 0xC3, z"
ISNAN,,#C4,compare_int,C4,ISNAN,x - x=NaN,18,Checks whether `x` is a `NaN`.,0xC4
CHKNAN,,#C5,compare_int,C5,CHKNAN,x - x,18/68,Throws an arithmetic overflow exception if `x` is a `NaN`.,0xC5
SEMPTY,,#C700,compare_other,C700,SEMPTY,s - ?,26,"Checks whether a _Slice_ `s` is empty (i.e., contains no bits of data and no cell references).","0xC7, 0x00"
SDEMPTY,,#C701,compare_other,C701,SDEMPTY,s - ?,26,Checks whether _Slice_ `s` has no bits of data.,"0xC7, 0x01"
SREMPTY,,#C702,compare_other,C702,SREMPTY,s - ?,26,Checks whether _Slice_ `s` has no references.,"0xC7, 0x02"
SDFIRST,,#C703,compare_other,C703,SDFIRST,s - ?,26,Checks whether the first bit of _Slice_ `s` is a one.,"0xC7, 0x03"
SDLEXCMP,,#C704,compare_other,C704,SDLEXCMP,s s' - x,26,"Compares the data of `s` lexicographically with the data of `s'`, returning `-1`, 0, or 1 depending on the result.","0xC7, 0x04"
SDEQ,,#C705,compare_other,C705,SDEQ,s s' - ?,26,"Checks whether the data parts of `s` and `s'` coincide, equivalent to `SDLEXCMP` `ISZERO`.","0xC7, 0x05"
SDPFX,,#C708,compare_other,C708,SDPFX,s s' - ?,26,Checks whether `s` is a prefix of `s'`.,"0xC7, 0x08"
SDPFXREV,,#C709,compare_other,C709,SDPFXREV,s s' - ?,26,"Checks whether `s'` is a prefix of `s`, equivalent to `SWAP` `SDPFX`.","0xC7, 0x09"
SDPPFX,,#C70A,compare_other,C70A,SDPPFX,s s' - ?,26,"Checks whether `s` is a proper prefix of `s'` (i.e., a prefix distinct from `s'`).","0xC7, 0x0A"
SDPPFXREV,,#C70B,compare_other,C70B,SDPPFXREV,s s' - ?,26,Checks whether `s'` is a proper prefix of `s`.,"0xC7, 0x0B"
SDSFX,,#C70C,compare_other,C70C,SDSFX,s s' - ?,26,Checks whether `s` is a suffix of `s'`.,"0xC7, 0x0C"
SDSFXREV,,#C70D,compare_other,C70D,SDSFXREV,s s' - ?,26,Checks whether `s'` is a suffix of `s`.,"0xC7, 0x0D"
SDPSFX,,#C70E,compare_other,C70E,SDPSFX,s s' - ?,26,Checks whether `s` is a proper suffix of `s'`.,"0xC7, 0x0E"
SDPSFXREV,,#C70F,compare_other,C70F,SDPSFXREV,s s' - ?,26,Checks whether `s'` is a proper suffix of `s`.,"0xC7, 0x0F"
SDCNTLEAD0,,#C710,compare_other,C710,SDCNTLEAD0,s - n,26,Returns the number of leading zeroes in `s`.,"0xC7, 0x10"
SDCNTLEAD1,,#C711,compare_other,C711,SDCNTLEAD1,s - n,26,Returns the number of leading ones in `s`.,"0xC7, 0x11"
SDCNTTRAIL0,,#C712,compare_other,C712,SDCNTTRAIL0,s - n,26,Returns the number of trailing zeroes in `s`.,"0xC7, 0x12"
SDCNTTRAIL1,,#C713,compare_other,C713,SDCNTTRAIL1,s - n,26,Returns the number of trailing ones in `s`.,"0xC7, 0x13"
DIFF,,#C714,diff_operation,C714,DIFF,c c - c,,Calculates diff between first and second parameters and returns it as cell.,
DIFF_PATCH,,#C715,diff_operation,C715,DIFF_PATCH,c c - c,,"Takes the first parameter as document, the second parameter as patch, received on DIFF command, applies patch and saves result document to cell.",
ZIP,,#C716,diff_operation,C716,ZIP,c - c,,Zip string to cell,
UNZIP,,#C717,diff_operation,C717,UNZIP,c - c,,Unzip cell to string,
DIFF_ZIP,,#C718,diff_operation,C718,DIFF_ZIP,c c - c,,like `DIFF` but unzip parameters before operation and zip to cell after operation.,
DIFF_PATCH_ZIP,,#C719,diff_operation,C719,DIFF_PATCH_ZIP,c c - c,,like `DIFF_PATCH` but unzip parameters before operation and zip to cell after operation.,
DIFF_PATCH_Q,,#C720,diff_operation,C720,DIFF_PATCH_Q,c c - c,,quiet version of `DIFF_PATCH`,
DIFF_PATCH_ZIPQ,,#C721,diff_operation,C721,DIFF_PATCH_ZIPQ,c c - c,,quiet version of `DIFF_PATCH_ZIP`,
DIFF_PATCH_BINARY,,#C722,diff_operation,C722,DIFF_PATCH_BINARY,c c - c,,like `DIFF_PATCH` but takes and returns binary arrays instead of string.,
DIFF_PATCH_BINARY_ZIP,,#C723,diff_operation,C723,DIFF_PATCH_BINARY_ZIP,c c - c,,like `DIFF_PATCH_ZIP` but takes and returns binary arrays instead of string.,
DIFF_PATCH_BINARYQ,,#C724,diff_operation,C724,DIFF_PATCH_BINARYQ,c c - c,,like `DIFF_PATCHQ` but takes and returns binary arrays instead of string.,
DIFF_PATCH_BINARY_ZIPQ,,#C725,diff_operation,C725,DIFF_PATCH_BINARY_ZIPQ,c c - c,,like `DIFF_PATCH_ZIPQ` but takes and returns binary arrays instead of string.,
NEWC,,#C8,cell_build,C8,NEWC,- b,18,Creates a new empty _Builder_.,0xC8
ENDC,,#C9,cell_build,C9,ENDC,b - c,518,Converts a _Builder_ into an ordinary _Cell_.,0xC9
STI,,#CA cc:uint8,cell_build,CAcc,[cc+1] STI,x b - b',26,"Stores a signed `cc+1`-bit integer `x` into _Builder_ `b` for `0 <= cc <= 255`, throws a range check exception if `x` does not fit into `cc+1` bits.","z = parse_const_u8_plus_one
      => 0xCA, z"
STU,,#CB cc:uint8,cell_build,CBcc,[cc+1] STU,x b - b',26,Stores an unsigned `cc+1`-bit integer `x` into _Builder_ `b`. In all other respects it is similar to `STI`.,"z = parse_const_u8_plus_one
      => 0xCB, z"
STREF,,#CC,cell_build,CC,STREF,c b - b',18,Stores a reference to _Cell_ `c` into _Builder_ `b`.,0xCC
STBREFR,,#CD,cell_build,CD,"STBREFR
ENDCST",b b'' - b,518,Equivalent to `ENDC` `SWAP` `STREF`.,0xCD
STSLICE,,#CE,cell_build,CE,STSLICE,s b - b',18,Stores _Slice_ `s` into _Builder_ `b`.,0xCE
STIX,,#CF00,cell_build,CF00,STIX,x b l - b',26,Stores a signed `l`-bit integer `x` into `b` for `0 <= l <= 257`.,"0xCF, 0x00"
STUX,,#CF01,cell_build,CF01,STUX,x b l - b',26,Stores an unsigned `l`-bit integer `x` into `b` for `0 <= l <= 256`.,"0xCF, 0x01"
STIXR,,#CF02,cell_build,CF02,STIXR,b x l - b',26,"Similar to `STIX`, but with arguments in a different order.","0xCF, 0x02"
STUXR,,#CF03,cell_build,CF03,STUXR,b x l - b',26,"Similar to `STUX`, but with arguments in a different order.","0xCF, 0x03"
STIXQ,,#CF04,cell_build,CF04,STIXQ,x b l - x b f or b' 0,26,"A quiet version of `STIX`. If there is no space in `b`, sets `b'=b` and `f=-1`.
If `x` does not fit into `l` bits, sets `b'=b` and `f=1`.
If the operation succeeds, `b'` is the new _Builder_ and `f=0`.
However, `0 <= l <= 257`, with a range check exception if this is not so.","0xCF, 0x04"
STUXQ,,#CF05,cell_build,CF05,STUXQ,x b l - x b f or b' 0,26,A quiet version of `STUX`.,"0xCF, 0x05"
STIXRQ,,#CF06,cell_build,CF06,STIXRQ,b x l - b x f or b' 0,26,A quiet version of `STIXR`.,"0xCF, 0x06"
STUXRQ,,#CF07,cell_build,CF07,STUXRQ,b x l - b x f or b' 0,26,A quiet version of `STUXR`.,"0xCF, 0x07"
STI_ALT,,#CF08 cc:uint8,cell_build,CF08cc,[cc+1] STI_l,x b - b',34,A longer version of `[cc+1] STI`.,
STU_ALT,,#CF09 cc:uint8,cell_build,CF09cc,[cc+1] STU_l,x b - b',34,A longer version of `[cc+1] STU`.,
STIR,,#CF0A cc:uint8,cell_build,CF0Acc,[cc+1] STIR,b x - b',34,Equivalent to `SWAP` `[cc+1] STI`.,"z = parse_const_u8_plus_one
      => 0xCF, 0x0A, z"
STUR,,#CF0B cc:uint8,cell_build,CF0Bcc,[cc+1] STUR,b x - b',34,Equivalent to `SWAP` `[cc+1] STU`.,"z = parse_const_u8_plus_one
      => 0xCF, 0x0B, z"
STIQ,,#CF0C cc:uint8,cell_build,CF0Ccc,[cc+1] STIQ,x b - x b f or b' 0,34,A quiet version of `STI`.,"z = parse_const_u8_plus_one
      => 0xCF, 0x0C, z"
STUQ,,#CF0D cc:uint8,cell_build,CF0Dcc,[cc+1] STUQ,x b - x b f or b' 0,34,A quiet version of `STU`.,"z = parse_const_u8_plus_one
      => 0xCF, 0x0D, z"
STIRQ,,#CF0E cc:uint8,cell_build,CF0Ecc,[cc+1] STIRQ,b x - b x f or b' 0,34,A quiet version of `STIR`.,"z = parse_const_u8_plus_one
      => 0xCF, 0x0E, z"
STURQ,,#CF0F cc:uint8,cell_build,CF0Fcc,[cc+1] STURQ,b x - b x f or b' 0,34,A quiet version of `STUR`.,"z = parse_const_u8_plus_one
      => 0xCF, 0x0F, z"
STREF_ALT,,#CF10,cell_build,CF10,STREF_l,c b - b',26,A longer version of `STREF`.,"0xCF, 0x10"
STBREF,,#CF11,cell_build,CF11,STBREF,b' b - b'',526,Equivalent to `SWAP` `STBREFR`.,"0xCF, 0x11"
STSLICE_ALT,,#CF12,cell_build,CF12,STSLICE_l,s b - b',26,A longer version of `STSLICE`.,"0xCF, 0x12"
